리뷰,예측,확률
언제나 만족하는 숙소 입니다 가성비 너무너무 좋은 숙소로 공간 넓고 따뜻하고 편안히 쉴수 있는 곳 이네요 이만한 가격에 이만한 숙소 없습니다 위치도 좋고 가격좋고 따뜻하고 온수 잘나오고 깨끗합니다 잘쉬었네요,긍정,0.906
시간도 길고 조용하고 편하게 쉬다왔어요,긍정,0.9323
베스트 웨스턴 플러스 전주 전주시 완산구에 위치한 새로 지은지 얼마 안된 호텔이다 베스트웨스턴은 군산에 이어 이번이 두번째다 군산 베스트웨스턴에서 묵었을때 메트리스가 매우 푹신했던게 기억이 남았다 전주에도 베스트웨스턴이 있다는걸 알게되고 주저없이 예약했다 역마살이 하늘을 찌르는 내게 돌침대를 선물할 수는 없었다 별이 다섯개라도 말이다 나는 스탠다드 더블룸을 예약했다 큰침대가 있고 책상이 있는 출장다니는 내게 적합한 호텔이다 밖에서 보니 건물이 이렇게 생겼다 전세계에 지점이 있는 호텔이다보니 호텔컨셉은 비슷하지만 외관은 그 지역 특색에 맞게 한것 같다 전주라 그런지 외벽에 격자무늬 우리나라 전통창호무늬로 포인트를 준것 같다 이 창호무늬는 방에서도 볼 수 있다 지하주차장에 주차를 했다 지상에도 주차공간이 있지만 지하가 훨씬 넓다 차량을 이용한다면 프론트에 차 번호를 알려줘야한다 물론 프론트에서 다시 확인해준다 전체적으로 분위기는 차분하고 조용했다 다이나믹한 출장에서 여독을 풀기에 내겐 안성맞춤이다 엘리베이터를 타고 도착한 바로 그 방 스탠다드 더블 침대는 시몬스라고 들었는데 역시 시몬스였다 내가 묵은 방엔 이름값하듯 푹신했다 그동안 수많은 돌침대를 경험한 내 등짝에겐 가뭄의 단비처럼 반가운 쿠션감이었다 전체적으로 깔끔하고 무거운 톤의 색의 가구가 배치되어있다 조명은 모두 전구색 노란 조명까지 가미되어 전체적으로 차분하다 그렇다 떠들면 안될 것 같다 연말이라 호텔예약도 쉽지 않을 거라 생각했는데 운좋게 좋은 호텔에 묵게 되었다 아참 호텔샤워기 물세기도 빵빵하다 기본적인거지만 물이 쫄쫄나오거나 온도조절이 잘 안되면 은근 킹 받는다 자세한 리뷰는 아래 블로그에 남겼어요,부정,0.0406
방도 넓고 괜찮아요,긍정,0.938
넷플릭스랑 에어드레스 된다길래 타지에서 예약하고 왔더니 오자마자 넷플릭스 안되는 방 줘도 되냐길래 넷플 되는 방으로 달라니까 넷플 되는 대신 에어드레스 고장난 방으로 주심 전화해서 바꿔달라 요청하니 넷플 안되는 방밖에 안된다고 하시다가 결국 되는 방으로 주시더니 갑자기 갖고 온 캐리어 세탁물이냐고 여쭤보심 내 여행용 짐인데 깨끗하지도 않는 텔에서 내가 이런 소리를 듣는 게 참 뭐하네요,긍정,0.5874
저는 쿠폰 써서 싸게 이용했지만 원가 주고 이용하기엔 좀 아깝다는 생각이 들었습니다 겨울인데 방 안에 모기가 너무너무 많았고 자는 내내 개미한테 많이 물렸습니다 모기인줄 알았는데 개미인거같아요 화장실 세면대에서는 개미가 많이 돌아다니더라구요 벌레 부분에서 신경 쓰셔야할것같습니다 그 외에 인포는 친절하셨어요,긍정,0.8703
한쪽 베개에서는 전 이용하셨던 분의 냄새가 났고요 컴퓨터는 뭐만 다운 받으려고하면 다 오류나고 항상 괜찮았던 곳인데 실망했네요,긍정,0.9022
오래된 모텔을 리모델링한 모텔이에요주말마다 보는 커플이라 모캉스 많이 하는데 전주는 처음이라 들뜬마음으로 왔어요 근데 가성비가 좋진않아요 전주 막걸리골목 근처택시 천원 나옴에서 그나마 저렴해서 온거에요 침구 청결도가 좀 떨어집니다 주차는 나름 자리 많았어요 남자끼리 오면 딱 잠만자기 좋겠어요 근데 스타일러 있어요 여기서 확 좋고 그리고 무엇보다 안내실 사장님진짜 친절하셔요 별점 개 찍고싶을만큼 이런친절함은 못봤습니다,긍정,0.7369
객실내부가좀어두워요 컴퓨터가엄청 느리고소리가안나와요 화장실선반에 먼지가많이앉은거빼고는 잘이용했어요 위사항만고쳐지면 최고일거같네요 잘푹쉬다왔어요,긍정,0.892
룸 상태도 좋고 티비가 커서 좋아요 룸 상태도 좋고 티비가 커서 좋아요 룸 상태도 좋고 티비가 커서 좋아요 룸 상태도 좋고 티비가 커서 좋아요 룸 상태도 좋고 티비가 커서 좋아요,긍정,0.9196
깔끔하고 사장님도 친절하셔서 잘 쉬다 갑니드,긍정,0.9249
윌달에 모기가네마리 잡고도 모기 때문에 잠을 못잠한 방에 모기가 이렇게 많을수가 있을까 신기해요결국 새벽에 마스크쓰고 모기약 잔뜩뿌리고 잠을청함그래도 생명력 강하놈들이 계속 공격이 들어와 결국 거의 잠을 못잠,긍정,0.8641
깨끗하고 좋았음 직원들도 친절함,긍정,0.9278
담배냄새만 안나도 살것 같아요,긍정,0.9274
숙소가 깔끔하고 좋아요,긍정,0.9381
매우 만족합니다 가성비 정말 좋아요 직원분들도 친절하세요 주차장도 층에 있고 뒷쪽에도 주차장이 따로있어서 주차는걱정안해도 될듯 합니다 주위에 편의점이며 먹거리가 많아서 좋습니다 백반집도 많고 맛집도 많아요 룸컨디션도 좋고 넓고 넷플릭스도 볼수있어서 좋았습니다 청소도 잘되어 있었어요 큰침대가푹신해서 여독을 풀수 있어서 좋았어요 욕조는 없으나 저언혀 문제될게 없습니다 출장을 자주 다니는데 출장차 방문하면 정말 굿입니다 가격도 저렴하고 잘쉬다 왔습니다,긍정,0.9056
오랜만에 전주가서 옛촌막걸리 먹고싶어서 여기저기 찾다가 가격도 괜찮고 주차시설도 있어서 숙소 잡았는데 생각보다 너무 좋고 시설도 괜찮았어요 다른데에 비해 가격도 괜찮고 좋았어요 아무튼 옛촌막걸리에서도 막걸리도 먹고 택시비도 별루안나와서 다녀올 수도 있었고 가성비 좋게 좋게 다녀온것같아요 다른 리뷰보니까 별루 안좋다고 하지만 가성비 대해 좋았습니다,긍정,0.8688
작년 월 순천에서 친구들과 넷이서 갔다가 펜션에 한 번 반하고 사장님이 너무 친절하시게도 호일에 춥다고 핫팩 담요 돗자리까지 주신 거에 또 반해서 이번에 동생이 친구들과 전주로 놀러간다기에 바로 생각이 나서 추천했었습니다 아니나다를까 동생 친구들이 너무 좋다고 자기 집이었으면 좋겠다고 신나서 잘 놀고 왔다고 하더라구요 너무 뿌듯했습니다 저는 타지에 놀러가면 여러 좋은 펜션들이 많으니 다른 곳도 가봐야지 한 곳만 가는 건 별로라는 마인드였어서 한 번 묵은 곳은 좋았어도 다시 간 법이 없었는데 이야기펜션에서 묵고 난 다음 생각이 바뀌더라구요 리뷰도 정말 기억에 남을 정도로 좋은 곳 아니면 귀찮아서 쓰질 않는데 이 곳은 꼭 사장님이 이런 마음을 보시고 힘든 경기에 힘 얻으셨음 해서 리뷰 남겨봅니다 다음에도 전주 놀러가게 되면 이야기 펜션 예약하려 합니다 사장님 앞으로도 지금처럼만 쭉 부탁드려요,부정,0.0432
나쁘진않았어요 금연객실이라는데 담배냄새가 나더라구요,긍정,0.9205
깨끗하고 춥지 않게 절 잤어요 약간 갑갑한 느낌은 있었어요 제가 숙박한 방은 작은방이라 그랬던거 같네요 티비도 옆으로 봐야 해서 불편했어요,긍정,0.8946
오랫만에 전주 우아동 이라는 지역에 출장을 오게 되었습니다 어디서 묵을까 망설이다가 아중역 인근에서 깨끗해보이는 호텔 늘 예약하고 갔습니다 역시 청결깔끔 그 자체였고 너무 좋았습니다 다음에도 꼭 들릴께요,긍정,0.9062
에어컨 시크럽고 리모컨버튼 작동안되고 충전기 고장나있고 프론트 전화연결 안되고 욕실화장실 바닥 지저분하고 모든게 잘 안될뿐이고 안되는게 많네요,긍정,0.8859
저렴한 가격에 부담없이 이용하기 좋아요 주차장 넓고 온수도 잘 나오구요 주변에 음식점들이 별로 없어서 배달 시켜야하는 불편함 제외하면 낫뱃 입니다 재방문의사 있어요 아 침대에 겉 커버 말고 속 이불에 피인지 음식인지 많이 묻어있던데 한번씩 교체는 해주세요 찝찝해요,긍정,0.8759
너무너무 마음에 들었던 숙소여서 리뷰남겨요 즉흥적으로 전주여행을 계획하며 예약했던 호텔인데 호텔 청결상태는 물론 방 사이즈 애기가 너무 좋아했던 료칸까지 가족들 모두 이 호텔 깨끗하고 방도 너무 크고 좋다면서 푹쉬고 잘 머물다가요 다음에 전주여행 계획하는 지인들이 있다면 하운드호텔을 적극 추천할거 같아요 주차장도 크고 뭐 하나 빠지는거 없이 대대대만속이에요,긍정,0.8631
방을 두번이나 바꿨습니다 처음 배정받은 방은 매트에 커다란핏자국이 있었어요 차마 사진을 올릴수없을만큼 민망했습니다 매트자체에 손바닥만한 크기로 묻어있었는데 시트로 덮어놨더라구요 그걸 모를거라고 생각한건지 시트에 비칠만큼 진한핏자국이였는데참으로 놀라운 경험이였습니다 두번째방은 욕실변기옆이 물바다였는데 에어컨배수관에 문제가 생겨서 그렇다고하더군요 핏자국때문에 방을 바꾼건데 또 이런방을 주는 이유를 모르겠습니다 냉장고문쪽에도 문제가 있었고 냉장고안에는 김치냄새가 진동하더군요 침대시트에 알수없는 털도 몇가닥있었습니다 그래서 결국 방을 또 교체했는데 그나마 양호한방이였지만 침대시트에 머리카락이 또 있더군요 여긴 객실정비에 문제가 있는것같아요 청소하시는분들은 여기가 무슨 모텔급인줄아시는지 여기저기 지워지지않은 얼룩들이 있었습니다 생긴지 오래되지않은 곳이라 기대많이했는데 여기가격의 반값도 안되는 게스트하우스가 더 깨끗합니다 아무리 오래된 호텔도 청결하게 관리만 잘하면 제값주고 가도 아깝지 않은데 여긴 벌써 이렇게 관리가 엉망이네요 이런곳에 가서 굳이 머물고 싶을까요 전주에 자주 방문하고 여러곳을 머물면서 경험해보고 있는데 이곳의 경험은 처음이자 마지막이 될 것 같아요 핏자국의 트라우마가 꽤 오래갈듯 합니다,부정,0.0403
담배냄새가 너무 심하고 수압이 너무약해요,긍정,0.9236
일찍 문을 열어서 너무좋고 대실시간이 길어 좋아요 들어가니 따뜻했고 외풍도 없어 편하게 사용했어요 번창하세요 또 이용할께요,긍정,0.9146
잘쉬다가갑니다,긍정,0.9338
빵점 중에 빵점 입니다 절대 아이들과 같이 가지마세요 털도 그대로 있고돈아까웠습니다,긍정,0.9042
연박으로 이용했고 숙소는 깨끗하고 좋았습니다 다만 첫날부터 분명 객실을 청소하지 말아달라고 요청드렸는데 다음날 외출 후 돌아왔는데 화장실이 청소가 돼있었습니다그와중에 화장실 제외하고는 청소가 안돼있었음 프론트에 얘기 하니 청소하시는 분이 실수로 한 것 같다 하셔서 아침에 급하게 나가다보면 옷이나 여러가지 정리를 못해놓고 나가기때문에 청소를 원치 않는다 다시 한번 하지말아달라 얘기를 드렸습니다 근데 다음날 외출 후 돌아왔더니 객실문은 열려있고 청소는 안돼있었지만 이상해서 자세히보니 발매트가 치워져있고 욕실에서 물청소를 한 듯한 누군가 들어왔었던 흔적이 있었습니다이번에도 역시 다른곳은 청소가 안돼있었음 화가나서 프론트에 다시한번 얘기하니 문이 활짝 열려있었느냐 환기를 위해 열어논 것 일거다 라고 하셨는데 환기를 하든 뭘하든 일단 객실문이 열려있었다는 것 자체가 문젠데 이런식으로 얘기하시는 것도 어이가 없었고 대 어르신이 청소를 해서 그런것 같다 라고 하셨는데 사실 이말이 사실인지 청소직원이 들어온건 맞는지도 솔직히 믿음이 안가고 사실이라고 해도 번에 걸쳐 얘기드렸는데도 해결이 안되는 문제면 제대로 교육을 다시 하시든 다른 직원을 쓰시든 문제해결을 하셔야 하는 문제가 아닌가 싶습니다 만약에라도 누가 객실에 들어와서 물건을 훔쳤거나 객실안에 숨어있었거나 했으면 아찔한 상황임에도 청소직원분만 탓 하는건 좀 문제가 있다고 생각합니다 다시는 이지역 오더라도 이 숙소는 이용 할 것 같지 않습니다,부정,0.0403
담배냄새랑 서비스 제대로 이용못한게 아쉽네요,긍정,0.9186
우선 청결상태는 별로입니다 시설 리모델링이란게 스타일러와 침대만 새거일뿐 의자도 앉는곳이 빠지고 침대 선반도 모서리 다 까지고 화장실 세면대와 욕조도 다 오래되고 룸이나 화장실청소상태는 최악입니다 드라이기 놓여진 앞에 콘센트에 먼지 가득하고 신경도 안쓰시는지 가성비 좋다고 하여 리뷰보고 예약했는데 금액은 다른데와 별차이 없었는데 이 가격이라면 저는 다시는 선택하지 않을꺼에요 이런 숙소는 처음입니다,긍정,0.6337
아침 일찍 문 앞에서 시끌시끌해서 일어났는데 아니나 다를까 문을 그냥 여시네요 요즘 세상이 무서운데 너무 당황스러워서 안쪽 문을 잠그고 불안에 떨었습니다 그리고 프런트에 항의했고 다른층 호수를 착각해서 청소를 할려고 햇다고 하네요 같은층도 아니고 다른층을 착각하고 그것도 이른 아침에 문을 여는 시도를 계속 하고 결국엔 문을 여십니까 신발 있는거 보고 나가시는거 같은데 당사자는 미안하다는말도 안하고 항의하니깐 전화너머로만 미안하다 하고 이런 경험 처음이네요 앞으로 호수 잘 확인하고 청소해주세요 다른 손님방 막 여시지 마시고요,부정,0.0399
사장님도 너무 친절하시고 시설도 너무 깔끔해서 좋았어요,긍정,0.9289
전주 한옥마을 가는김에 예약한 호텔 위치 한옥마을에서 차로 분거리라 가깝습니다 하지만 걸어가기는 살짝 거리가 있어서 아쉬웠어요 객실 객실에 들어가자마자 더운 기운이 확났어요 들어가자마자 에어컨을 켜긴했는데 시원해지는데 약간 시간 걸리구요 방에 파리 한마리가 나갈 곳을 찾아 돌아다니고 있어서 창문 열어놓고 나가기를 기다렸습니다 호텔에서 모기는 봐도 파리는 처음이라 침대는 더블 개 싱글 개라서 셋이 쓸 수 있을만한 사이즈입니다 자는데는 전혀 부족함이 없어요 다만 에어컨이 침대 방향으로 되어 있어서 잘때는 에어컨을 끄고 자야합니다 티비는 넷플릭스 시청가능합니다 서비스 로비 직원분들은 친절했습니다 주변 가볼만한 곳 한옥마을 한복입고 다니면 재미날 듯 길거리야 또간집에 나온 바케트 햄버거 맛집 제 입맛에는 맞았어요 카카오프렌즈 한옥마을에 맞는 의상을 입고 있는 카카오 프렌즈 정말 귀여워서 지갑 완전 오픈 조점례 피순대 저도 먹었습니다 비리지 않고 맛있어요,부정,0.0414
화장실에서 냄새가 심하네요,긍정,0.9299
나쁘진않았어요 금연객실이라는데 담배냄새가 나더라구요,긍정,0.9205
키 받아서 엘리베이터 타자마자 내부에서 화장실 지린내가 진동을 하고 룸 내부 화장실 구조는 세면대 샤워부스 변기가 전부 분리되어 있는데 변기 쪽엔 수도가 없어서 제대로 청소할 수 없는 구조라 위생적으로 최악이었습니다 벽에 벌레 때려죽인 자국 그대로 남아있는 건 덤이고요 여름인데 에어컨도 전혀 청소도 전혀 안 돼있어서 너무 불쾌했어요 목금 숙박이었는데 월 일 목요일 시 분경 방에 수건이 부족해서 카운터에 전화를 사진과 같이 여러 번 했고 숙소 내 전화기로도 서너 번 이상 걸었는데 일하기 귀찮은지 단 한 번을 받질 않네요 결국 옷 다 챙겨 입고 층 내려가서 직접 받아왔습니다그마저도 앉아서 폰 보면서 귀찮아하는 표정과 말투 최악이었네요 야자가 이렇게 관리를 대충 하는 곳인 줄 몰랐는데 정말 실망이 크고 저는 어느 지역으로 여행 가더라도 야자에서는 묵지 않을 것 같네요 리뷰를 애시당초 잘 안 쓰고 쓴다고 해도 좋은 내용만 쓰려고 하는 사람인데 이 숙소는 정말이지 너무했습니다 숙박하시려는 분들 참고하세요,부정,0.0398
깔끔하고 좋습니더 인테리어가 이뻐요,긍정,0.9277
세면대에 치약껍질이 그대로 있고 샴푸린스바디통 바꾸셔야겠어요 스타일러 열고 안에 엄청 더러워서 놀랐어요 한번 빗자루로 쓸었으면 안그럴텐데요 청소를 아예 안하시는듯 전 다신 안갈래요 다른동네가 같은가격에 훨낫네요,긍정,0.8784
리모콘이 고장나있엇어요,긍정,0.9305
주변에 놀 거리와 먹을 곳이 많아서 위치면으로 너무 좋아요,긍정,0.9245
방에 먼지가 많아요,긍정,0.9304
스타일러가 있어서 좋았지만 전체적으로 오래된 느낌의 모텔이에여 급하게 잡은 방이라 세심하게는 못 봤는데 막상 들어가니 눈에 보이는 셋탑박스에 먼지가 가득이더라구요 물 마시려구 냉장고 문 여는데 냉장고에서 찌든 냄새가 나서 놀랬어요 창문이 아닌 베란다 형식으로 되어있어서 문을 닫아도 서늘한 바람이 들어와요 전기장판이 잘되어 있어서 따뜻하게 잘 잤어요 수압도 괜찮고 따뜻한 물도 잘 나옵니다 다만 오래된 곳이라 낡은 느낌은 어쩔 수 없네요 급하게 묵는 거 아니면 굳이 다시 찾진 않을 것 같아요,부정,0.0453
뷰도 예쁘고 방마다 다르겠지만 너무 깨끗하고 편안했습니다 전주최고,긍정,0.9233
바닥이 카펫이라 청소 잘 되어 있는지 확인이 안되는데 병뚜껑이 널브러져 있었고 침대 시트에 오염물질이 묻어 있더라고요 크케 신경 안 쓰여서 프런트에 말하진 않았어요 조식 먹을만합니다,긍정,0.8896
월일 모텔에 숙박하였습니다 모텔과 모텔이 같이 붙어 있으며 주차장은 꽤 넓습니다 늦게 숙박하시러 오면 종업원께서 주차 해 주십니다 참고하세요 숙소 근처는 중화산동 유흥지역에 안에 위치해 있음에 주변에 식당들도 많고 주점 노래방도 많습니다 숙소에 주차하시고 걸어서 근처 식당들 이용하시는 것도 좋습니다 인근으로는 신시가지도 택시 타고 가서 술 마시기 편합니다택시비 원대 항시 말씀드리지만 모텔의 가성비는 약간의 건물 노후화가 반영된 것이니 참고하시기 바랍니다 숙소 이용시설물은 다 괜찮습니다전 객실 스타일러가 있으니 참고 바랍니다,긍정,0.8784
늦게 나왔다고 혼났지만 이번에도 잘 쉬다가요,긍정,0.9251
일 새벽시분경에 일날 숙소를 예약하려고 예약을했는데 새벽시분인데도 일로 안넘어가져있는걸 제가 못보고 일로 예약을했고 새벽시에 확인을해서 시분에 모텔쪽으로 연락을드려서 이게 제가 날짜예약을 잘못해서 취소가능한 시간이지났는데 취소나 날짜 변경이 가능하냐 물어봤고 모텔측에서는 자신들이 해줄수가없다고 어플측에 물어보라해서 여기어때 고객센터로 연락을 하려했는데 상담시간이 지나서 다시 모텔측에 연락을드려서 상담원 상담시간이 지나서 모텔측에 다시연락을 드렸다말씀드렸고 직원분께서 자신은 권한이없으니 오후에 사장님이 출근하시면 다시 연락달라는 말만 하셔서 알겠다하고 전화를 종료했습니다 그리고 그후에 오후에 연락을 다시드렸더니 환불및취소는 벌써 예약한 일자가 지나버려서 안된다고 하시고 야간직원분이랑 연락해보고 연락주신다 하셔서 기다렸지만 시가 되도록 연락이 안와서 직접 연락했습니다 제가 예약날짜를 제대로 못보고 예약한건 잘못이 맞습니다 근데 새벽직원분은 이런거 응대하시려고 데스크업무 보시는거 아닌가요 제가 전화를해서 화를낸것도 아니고 혹시 가능하냐 여쭤봤을때 자신은 권한이 없으니 사장님오시면 연락달라하실때 그 말듣고 기다린 저는 숙소 사용해보지도못하고 그냥 돈만 날린셈이 되버렸네요 이런상황이라면 취소가 어려우니 사용하시던지 해야될거같습니다 라고 추가 부연설명을 해주시는게 당연한거 아닌가요 기다렸다 연락달라는 말만 듣고 기다린 저는 뭐가 되는건가요 그리고 시에 다시 전화하실때 저한테 마지막에 도대체 아 제가 잘못한게 있으면 사과드려야죠 근데 새해인데 좋게좋게 끝내시고 새해 액땜하셨다고 생각하시고 넘어가주세요 이런말은 왜하시는건가요 제액땜을 왜 직원분이 정하시는거세요 도대체,부정,0.04
프론트에 사람도 없고 휴대폰도 안 가져가고 사람을 분 넘게 기다리게 할 거면 일을 왜 하죠 셀프체크인이라도 할 수 있게 하든가 양심 있으세요 큰 목소리로 여러 번 불러도 아무도 안 나오고 환불이라도 해주시든가요 일을 그냥 하지 마세요,긍정,0.871
믿고오는 늘입니당 시간도 길어서 낮잠까지 충분히 자고 배달음식 시 켜먹고 보고 매번 만족 하고 가요 주차장도 넓고 관리 잘하셔서 너무 좋습니당 계속 애용할게용 감사합이다,긍정,0.8949
와이파이가 연결은되는데 잘안됐다 됐다 그러네요 다른건다좋은데,긍정,0.9216
생각보다 오래된 곳이라서 그런지 천장에 곰팡이쓸고 화장실도 예전식이더라고요,긍정,0.9063
연박했는데 객실 청소 넘 성의가 없어서 실망했습니다 컵라면 다 먹은것 조차 그대로 두셨더라고요,긍정,0.9078
이제껏 가본 숙소중에 정말 최악이었어요 에어컨 청소한지가 년 넘은것같음 냄새나서 보니까 필터가 누렇게 변색되고 먼지가 수북하게 앉아있고 벌레가 날라다니고 진짜 과관임,긍정,0.8825
대실 이용했는데 깔끔하고 좋았습니당,긍정,0.9277
후기 좋아서 예약했는데 별로였어요 방에서 담배쩐내남 옆방에서 담배피면 냄새 공유됨 담배냄새 안나는방으로 달라고했는데 들어가보고 냄새나면 층 바꿔서 층으로 가야된다고해서 말았어요 방 상태는 얼팟봐서는 깨끗해보이지만 쩌든 느낌이 좀 들어요 오래된 얼룩같은 딱 모텔느낌같은 침대는 불편하지만 이불은 좋았어요 영화제로 숙소 없을까봐 미리 예약했고일주일전에 숙박대전 쿠폰도 사용해서 저렴하게 이용했어요 근데 프론트갔는데 준비하신 명단에서 이름 확인도 안되고 한참 다른거 찾아보고 확인되었어요 그래놓고 미리 예약해서 확인이 안되었다 지금 방 만원 넘는데 싸게 예약했네 등 불친절한 느낌이 들었어요 저렴한 가격에 나오면 이용해볼법한 숙소입니다,부정,0.0387
좋았어요 시설도깔끔하고 저렴하고,긍정,0.9355
시설도 좋고 서비스가 완벽합니다 스트레스가 풀리고 향기가 나서 좋았어요 다음에도 가고 싶네요,긍정,0.9184
낡아서 키도 카드가 아니라 열쇠라 불편했고 방은 그저그랬어용,긍정,0.9146
사진과는 너무나도 다른 방 구도지만 무엇보다도 방 크기가 실망하기 그지없습니다 그냥 모텔가셔서 특실잡는게 낫습니다 침대는 디따 큰데 계절에 안맞게 뚜꺼운이불을 비치하는가 하면 무슨 서비스인지 박인데 수건만 개는 주심 조식은 물어보기전에는 안내도 안해주고 이번 숙박은 좋지 않았어요,긍정,0.8705
너무 깨끗하고 좋아요,긍정,0.9368
가성비짱짱 좋았어요,긍정,0.9349
수많은 모텔을 가봤지만 정말 방이 넓고 깨끗하고 따뜻하고 모든게 만점인 곳이네요 다음에 또 기회가 된다면 다시이용하고 싶을 정도입니다 생각보다 엄청 큰 모텔이네요 신시가지에서 이만한곳 없는듯,긍정,0.9047
아주 싼가격 하루숙박 룸컨디션 괜찮았고 스타일러도 있었고 하지만 걷기 힘들정도의 차가운냉기 보일러 안돌려줘서 방바닥 완젼 냉골 싸니깐 이해해야 하는거죠사장님 깜박하신거죠 싸서 바닥 안돌린거 아니죠 프론트 전화안받는거 이해해야죠 싸장님 그주변에서 자리가 많아 자주 숙박하는데 다시가도 되죠,긍정,0.8774
이불솜이 계속빠져서 하 재채기만계속하고,긍정,0.9216
깔끔하고 좋습니다 주차장 쾌적 재방문 의사,긍정,0.9313
따듯하고 편안하고 조아요,긍정,0.9323
프리미엄 예약후 숙소들어갔는데 아무리생각해도 프리미엄이 아닌거같은 방크기너무나도 작았어요프론트 문의 후 방 변경했습니다 프리미엄 사진에 나와있는 방욕조개방 문으로 구분되지않는 신박한화장실구조으로 재배정후 짐을 푸려고하는데 콘돔 포장지 비닐 쓰레기가 나왔고 침대에선 머리카락이 창틀은 물때 침대 머리카락은 저희께아닌걸 바로 알수있었는데요 남자친구머리카락 제머리는 탈색염색모발 이라 확연히 눈에 보이는 색과 길이라 찝찝함을 지울수가 없네요 전주 여행가서 가깝고 후기가 안나쁜거같아서 잡았는데 안타까운 선택이였습니다,부정,0.0405
담배 냄새 때문에 너무 힘들었어요,긍정,0.9269
욕실에서 샤워를 하는데 물이 배수가 잘 안되어서 물이 고이더라고요 좀 개선이 필요한듯,긍정,0.917
깨끗하고 친절하고 좋아요,긍정,0.9374
침대가 너무 불편했어요 그리고 냉장고 안도 조금 더럽고 화장실 욕조도 청결하지 못했어요 그냥 하루 잠만 잔걸로 만족,긍정,0.8984
오랜만에 전주에 왔는데요 숙박 할만한 곳을 찾아보니 이곳에서 머물게 되었습니다 사장님도 친절하시고 무엇보다 저렴한 가격에 잘 이용하다 갑니다 다음에도 또 이용하도록 하겠습니다,긍정,0.916
두번째 방문이에요 사장님 친절하시고 방상태도 너무 좋고 올때마다 만족하고 갑니당,긍정,0.9196
좋았어요 시설 좋아요,긍정,0.9387
가성비 좋아요 다음에도 갈듯,긍정,0.9297
저렴하고 시설좋아요,긍정,0.9367
와 진짜 시설 너무 좋아요다들 여기로 오세요 진짜 다시는 다른 모텔 못가요 여기 거즘 호텔급,긍정,0.9114
침대 좋아요 깨끗해요 좋아요,긍정,0.9374
여행 전 급하게 숙소 찾아보다가 그나마 깨끗한곳으로 예약한다고 했는데 사진에 있지도 않은 방이었습니다 욕실 곰팡이와 갈라진 줄눈 사용 제대로 되지않는 먼지가 가득 끼인 헤어드라이기 충전기 꽂다가 폭발해버릴 것 같은 콘센트까지 전주 여행 처음 왔는데 여행의 마무리가 아쉽네요 리뷰도 봤는데 같은 사람이 같은 사진 계속 올려놓고 방 배정을 잘못 받았나봐요 년 최상급 메트리스와 침구류로 교체 되었다고 숙소 소개에 기재되어있는데 침구 세탁 상태도 엉망이어서 여러므로 많이 불편했습니다,부정,0.0409
전주에서 오랜만에 숙박을하였는데 터미널에서 가깝고 방도 따듯하고 아늑하면서 좋았습니다 가격도 무난했구요 다음에도 이용할 생각이 있습니다,긍정,0.9139
욕실청소가 조금 아쉬웠지만 넷플릭스와 인치티브이가 너무 좋았고 편히 쉬었습니다,긍정,0.9245
잘쉬다 왔어요 편안하고 깨끗했어요,긍정,0.9332
시설이 좋고 깨끗하네여,긍정,0.9341
좋아요오오오오오오오옹,긍정,0.935
호 조명이 넘 어두어요,긍정,0.9316
늘 잘 이용하고 있습니다 가격도 다른 업체들과 차이가 없고 시설은 훨씬 쾌적하고 좋아서 오히려 더 저렴하다고 느껴지네용 대실은 시간도 넉넉하고 넷플릭스 등 서비스도 잘 갖추어져있어요 추천합니당,긍정,0.9049
아주 편하게 쉬다 갑니다 침대 굿입니다 시설깨끗하고 숙박시간 착하고 주변 여러모텔중 잴 나은듯,긍정,0.9156
서비스가 굉장히 아쉽네요,긍정,0.933
조식도 다 떨어져서 없다 하시고 욕조에 머리카락도 그대로고,긍정,0.9184
미리 찾아가 원하는 방을 말씀 드렸는데 예약날 체크인을 해보니 그 방이 아니였네요 호텔은 새 호텔이여서 깨끗하게 이용했지만 서비스 측면에선 만족하지 못합니다,긍정,0.8998
전주 마리 터미널점은 전주 고속버스터미널 인근에 위치한 숙소로 교통 접근성이 뛰어나 여행자들에게 편리한 선택지입니다 객실은 깔끔하고 현대적인 인테리어로 꾸며져 있으며 침구류도 청결하게 관리되어 쾌적한 숙박이 가능합니다 또한 전주 한옥마을 덕진공원 등 주요 관광지와도 가까워 관광 일정 계획에 유리합니다 직원들은 친절하고 응대가 신속하여 전반적인 서비스 만족도가 높습니다 다만 일부 객실은 방음이 다소 미흡할 수 있으므로 예민하신 분들은 참고하시기 바랍니다 전반적으로 가성비 좋은 숙소로 추천할 만합니다,긍정,0.8633
좋습니다다음에 또 방문할깨요,긍정,0.9322
깔끔하니 좋았어요,긍정,0.939
매우 불친절합니다 충전기 좀 달라고하니 던지듯 주더군요 열받지만 참고 방에 왔더니 아이폰 충전기더군요 제 폰은 삼성폰인데 날도 더우니 물을 더 달라고 했더니 방에 있다면서 안 주더라고요 사서 먹으라고 한 번 더 얘기했더니 억지로 주시네요 이것저것 다 적고싶지만 구차해서 참습니다 암튼 주변에 친절한 숙소 많은데 아직 이런 서비스 자세로 영업하는 곳이 있다니 좀 놀랐습니다,긍정,0.7378
