리뷰,실제,예측
건물은 오래되었지만 내부 청결상태가 양호하며 직원 친절해서 다시 숙박하고픈 숙소입니다,부정,중립
전주에 출장이 잡혔는데 늦게 도착하기도 했고 저녁에 술 약속도 잡힌 터라 잠만 자고 바로 나갈 생각에 근처에서 최저가로 잡았습니다 가격도 가격이지만 최우선 청결하지 않으면 안 갈 생각으로 잡았는데 정확히 말씀드리자면 시설이 오래되고 살짝 오래된 향이 나긴 하지만 그건 시설이 오래돼서라 생각 드는 게 이불이 굉장히 깨끗했고 바닥청소도 먼지 한 톨 없이 잘하셨습니다 게다가 침대가 넓고 탄탄해서 허리도 안 아프고 꿀잠 잤습니다 여기는 늦게 왔을 때 잠자기로 가성비가 정말 좋습니다,중립,부정
오랜만에 이 숙소에서 머물다 갔네요 하지만 예전 그대로 내요 비품들 시설들 하지만 이 가곅에 만족합니다 시즌 때라 주변 시세가 많이 비싸서 그전 머물던 곳도 방이 없어서 하루 머물기엔 나쁘지는 않습니다 단지 주차장 적어서 그건 불편해요,부정,중립
편안하게 잘 쉬다가 나갑니다 방이 깨끗하고 편의점도 맞은편에 바로 있고 주변 편의시설도 마음에 들어요 특히 객실 안 인테리어는 숙면에 편안한 상태로 만들어 주네요 넷플릭스도 잘 나오고 있지만 화장실 청결 상태는 좀 아쉽습니다 타일 거품 자국 그대로 음료수도 로비에서 가져올 수 있고 침대도 크고 시트도 청결합니다 티브이도 괜찮아서 쾌적한 상태를 유지할 수 있습니다 다만 방음은 잘 안 되는 편이라 복도에서 목소리는 들리지만 방 안에서 다른 방 소리는 괜찮았습니다 엘리베이터나 카운터도 깔끔합니다,부정,중립
자주 가는 곳인데 오늘 방을 이용하고 있는데 다른 투숙객에게 같은 방 키를 건네서 해당 방을 이용 중에 문을 열어서 몹시 당황을 했고 상황 설명을 직접 들으러 갔을 때 다른 투숙객에게는 사과를 했는데 카운터 직원분이 빠지셔서라고 변명부터 하시는 사장님과 그제야 사과하시는 모습에 실망했습니다 이런 일이 있으면 바로 연락을 주시거나 노크를 하셔서 먼저 오셔서 사과를 주셔야 하지 않나 생각이 듭니다 다음부터는 주의해 주셨으면 좋겠습니다,부정,중립
여기 일단 룸 청소도 깨끗하고 시설도 잘 정비되어 있어 좋습니다 물도 잘 냉장고에 넣어져 있고요 타월도 수납함에 깨끗하게 보관되어 있네요 근데 큰 수건도 있었으면 합니다 편하게 잘 쉬었다 갑니다,중립,긍정
조식으로 나오는 떡라면은 너무너무 맛있어요 떡도 많이 들어있고 김치도 맛있어요 우유랑 주스도 있어서 골라 마실 수 있습니다 강추합니다 퇴실 시간도 길어요,중립,부정
출장으로 이용했습니다 출장을 상당히 많이 다 너는데 항상 가던 곳만 이용하는데 요기는 처음 이용했습니다 방 창문이 커 환기 자체가 잘 돼서 쾌적하게 이용했습니다 청소도 잘 되어있었네요 미흡한 점이 있긴 하네요 티브이도 크고 넷플릭스 이용할 수 있어서 좋았습니다 주차장도 넓어서 주차하는 데 크게 어려움 없는 것 같아요 주변에 식당도 꽤 있는 것 같아 저녁 먹기 편리합니다 방도 크고 침대도 편안해서 잘 잔듯합니다 전기장판도 있네요 다만 다른 곳보다 난방이 약한지 살짝 추웠어요 다시 방문 의사 있어요,중립,긍정
번째 방문 조식 도시락 생각보다 맛남,부정,중립
애들 데리고 전주에 좋은 추억 남기고 갑니다 주변에 먹거리가 많아서 애들도 아빠도 좋아하더라고요 아들내미 딸 데리고 놀러 다니는 거 힘들었는데 침대 세 개 있는 방 싸게 잘 이용한 것 같네요,중립,긍정
객실 청결 및 컴퓨터 마우스 문제가 있었으며 화장실 문도 안 닫힌 거 빼곤 방도 따뜻하고 입실 및 퇴실 시간 길어서 좋았어요,중립,부정
가성비적으로 나쁘지 않았습니다,중립,긍정
주차장 칸도 넓고 엘리베이터도 깔끔하고 좋았어요 그런데 수건에서 냄새가 좀 나고 화장실에서 담배 냄새가 올라와서 힘들었어요 물론 손님이 객실에서 몰래 담배를 피우는 게 호텔 측 잘못은 아니지만 흡연에 대해서 더 강하게 규제를 해줬으면 합니다 또 객실에 모기가 있어서 밤새 물어 뜯겼어요 위치 주차 가성비로는 정말 좋았어요 룸 컨디션만 더 신경 써준다면 좋겠어요,중립,긍정
깔끔하고 무난해요,중립,긍정
차가 너무 밀려서 새벽 시가 다 되어서야 도착해서 직원분께 너무 죄송했어요 전화드리니까 늦게 오셔도 괜찮다고 친절하게 대해주셔서 감사했습니다 들어갔는데 커튼이 없어서 당황했는데 창문이 암막 커튼 역할이더라고요 아침인데 아직도 밤인 줄 알았다네요 저렴한 가격에 욕조도 있어가지고 상당히 만족스러웠습니다 근데 컴퓨터가 네이버나 이런 것도 안 들어가지고 지원이 거의 종료된 인터넷 익스플로어 쓰고 계셔서 제약이 좀 있네요 크롬이나 파이어폭스 설치해 주시면 컴 사용하기에 좀 더 편할 것 같아요,중립,긍정
다른 선택지가 없어서 여기를 처음 이용해 보게 되었는데 인테리어는 그렇다 쳐도 에어컨이 좀 오래된 기종처럼 보여서 깨끗하기만 하면 틀어야지 하고 열어봤는데 도저히 저걸 보고 틀 수가 없었어요 그래서 에어컨을 안 틀고 있다 보니 너무 더워서 한 시간만 머물다가 나왔습니다 에어컨만이라도 청결하게 해주셨으면 해요,부정,중립
중화산동에 무한대실을 할 수 있는 곳이 없었는데 평일 무한대실울 할 수 있는 곳이 생겨서 너무 좋아요,긍정,중립
매번 쾌적하게 잘 이용하고 갑니다,긍정,중립
깨끗하고 무엇보다 이뿝니다 여러 지역 다니면서 묶었던 숙소 중에 기억에 많이 남을 것 같아요 손잡이들 의자들 알록달록 너무 이쁘고 새하얀 침대도 티브이 화장실 모두 다 좋았습니다 만 원 더 내구 큰 창문 할걸 싶은 생각 들어 카운터 전화도 했는데 전화연결이 안돼서 못했네요 다음번 전주 방문하면 그때도 주저 없이 숙박하려고요 잘 쉬었습니다,중립,긍정
인테리어는 너무 예뻤는데 방안에 거미줄이 있었어요,중립,긍정
들어가자마자 이상한 냄새가 났긴 했지만 깨끗하고 친절하십니다,긍정,중립
진짜 너무 잘 쉬다가 갑니다 피곤에 찌들어서 선택한 곳이었는데 만족스럽게 잘 쉬었어요 침대랑 이불도 깨끗하고 좋아서 아침까지 한 번도 안 깨고 잠도 푹 잘 잤어요 한 번도 안 깨고 깊게 잠든게 얼마만인지 어두침침한 조명이 아니라 환한 조명이라서 더 좋더라고요 입실하면 무선 주전자 상태 꼭 보는데 물 고여있는거 없이 내부도 깨끗했어요 층에 물 음료수랑 간단한 간식있어서 토스트랑 커피 야무지게 챙겨먹고 나왔어요 냉장고에 우유도 있으니까 라떼 만들어 먹어도 될 듯해요 저는 집 떠나면 식사 챙기는게 항상 고민이거든요 먹는건 그냥 배만 채우면 된다고 생각해서배달음식 좋아하지도 않고요 그런면에서 간단히 식사할수 있어서 너무 좋았어요 욕실도 물때 없이 깨끗하고 따뜻한 물 강한 수압 등등 나무랄데 없었습니다 시 정각에 입실했는데 방도 이미 충분히 따뜻했어요 대리석 바닥이 따땃해네여 밤에는 덥다고 느낄 정도로 난방 빵빵하게 돌아가서 전기매트는 끄고 잤어요 창문 좀 열어야되나 싶을 정도였네요 대리석 바닥에 먼지 도 없어서 비염도 안 터졌어요 제가 프로비염러거든요 아침에 일어날때 항상 콧물 한 바가지 쏟는데 진짜 여긴 콧물도 안 났어요 신기하네여사장님 친절하시고 요청사항도 잘 들어주셨어요 여기저기 보수 공사하느라 많이 바쁘신거 같더라구요 층 로비도 수리하시면서 전기 벽난로도 만드시는거 같았어요 다음에 또 오겠습니다 정말 너무 잘 쉬다가 갑니다,중립,긍정
월일 여기 어때를 통해 전주 화이트 호텔에 숙박 예약을 했습니다 전주에 몇 달 만에 왔는데 엘리베이터 새것으로 리모델링을 했네요 아주 좋습니다 객실 내 청소는 아주 깨끗하고 좋았습니다 다만 화장실 변기커버와 변기 사이즈가 맞질 않아 큰일 보기가 좀 난감했습니다 호에 숙박하였는데 샤워기 수압도 좀 약했고요 하지만 대체적으로 숙박하는데 불편함은 없었습니다 그리고 아침 조식을 무료로 주는데 감동 감동입니다 샌드위치와 떡라면 중 골라 먹을 수 있는데 전 떡라면 너무 맛있었어요 다음에도 전주 출장 오면 역시 화이트 호텔은 필수입니다,중립,긍정
욕실도 깨끗하고 스타일러 드라이기 고데기 객실 어메니티는 다 있어 편리했어요 객실 내 흡연은 금지인데 자는 내내 담배 냄새가 나서 예민하신 분은 참고하시고 가운은 땀내가 조금 냄새가 나서 별 하나 뺐는데 그거 외에는 추천해요 직원분도 친절해요 업그레이드해줘서 좋았는데 주차 못해서 근처에 했는데 발레파킹해주시더라고요 몰라가지고 주차하는데 애먹었어요,긍정,부정
급하게 잡은 숙소인데 일단 방이 너무 추웠어요 공기가 차서 너무 썰렁했음,중립,부정
저 아직 가지 보지 않았지만 커플 컴퓨터 사양 좀 알 수 있나요 컴퓨터 좋으면 은근 가는 사람들이 많아서 저처럼,중립,긍정
깔끔하고 좋았어요 다만 화장실 여닫이문은 수리 좀 해야 할듯싶어요 열고 닫기가 불편해요,중립,부정
전주 장기 출장 중이어서 전주 시내 여러 숙소를 이용 중인데 라베 호텔이 깨끗하고 시설이 좋은 것 같습니다 주차장이 좁은 게 아쉽지만 사장님께서 친절하게 안내해 주셔서 어려움 없이 이용 가능했습니다 리뷰가 높은 이유가 있네요 화장실 침구 등 객실 청결 전혀 문제없었고 방음 빵 온도 등도 전혀 문제없어 잘 쉬었다 갑니다 다음 주에도 출장 예정인데 다시 이용할 생각입니다 샴푸린스 보디워시도 일회용이어서 더 위생적으로 느껴졌습니다,중립,긍정
월일 월요일 급히 전주에 가게 됐습니다 성남에서 급히 출발하다 보니 숙소 예약도 못했는데 전주 나와서 신호 대기 시 여기 어때 앱을 통해 예약을 했습니다 전주에 오면 숙소는 역시 화이트 호텔이죠 객실 깨끗하고 넓고 일회용품 넉넉히 비치되어 있고 에어컨 팡팡 사향 좋고 침구류 깨끗하며 다만 샤워기 수압이 조금 약했습니다 그렇다고 불편할 정도는 아니었어요 그리고 숙소 부근 인프라 좋고요 머니 머니 해도 아침 무료 조식 아트입니다 편히 잘 묵고 갑니다 고맙습니다,중립,긍정
전주 로데오거리 내에 있어 한옥마을과도 멀지 않았고 먹을 곳 놀 곳들을 쉽게 이용할 수 있어요,부정,중립
들어갈 때 퀴퀴한 냄새가 살짝 나기는 하지만 금방 냄새가 빠져서 괜찮아요 청결해서 마음에 들어요,부정,중립
뭔가 독특한 느낌을 많이 받았습니다 새로 오픈한 곳 같은데 복고풍 콘셉트가 재미있네요 옛날 새삥느낌 침구류도 폭신하고 화장실 깨끗한 게 가장 맘에 들었습니다 잘 쉬다 갑니다,중립,부정
전주에 출장이 있어서 어떤 숙소가 좋을지 찾다가 선택한 숙소입니다 우선 주차장이 크고 입실이 오전 시 퇴실이 오후 시로 시간을 활용하기 좋으며 상대적으로 저렴한 가격으로 이용할 수 있었습니다 방이 큰 편은 아니지만 혼자 있기에는 충분했습니다 화장실은 크고 깨끗했으며 샤워기 수압 또한 나쁘지 않았습니다 저는 배달로 저녁을 먹었지만 주변으로 식당이 있어서 선택의 폭이 넓습니다 넷플릭스를 포함한 대부분의 시청이 가능해서 심심하지 않고 좋았습니다 전반적으로 좋은 숙소라고 생각되며 다음에 출장이 있으면 다시 사용할 생각은 있습니다,중립,긍정
대실 시간도 길고 넷플릭스 티빙 디즈니 플러스 등 여러 가지 프로그램이 되는 곳이라 잘 애용하고 있어요 원래 결제했던 방 보다 한 단계 업그레이드해 주셔서 큰 방에서 편안하게 쉴 수 있었습니다 약간 단점이었다면 모텔 밖에서 너무 큰 노랫소리가 났다는 거랑 화장실은 보일러 작동이 안 되는지 너무 추웠어요 이 두 가지 빼고는 정말 좋았습니다 자주 애용하는 곳이라 믿음도 가고 항상 갈 때마다 편안하고 좋습니다 다음번에 또 이용하러 올게요,긍정,중립
원 하루 숙박 완료,중립,긍정
정말 깨끗한 것 같아요 사진 그대로여서 매우 맘에 들고요 다음에도 들리면 여기로 들릴 생각이에요,중립,긍정
쾌적하고 매우 만족입니다,긍정,중립
전주 가족여행 와서 이용 중이에요 오픈한 지 얼마 안 돼서 시설 청결 너무 좋아요 따뜻하고 쾌적합니다 에어 드레서 있어서 사용해 봤어요 화장실 문이 불투명 창이었으면 하는 개인적인 의견입니다,중립,긍정
담에 또 올게요 신경 좀 더 써주세요,부정,중립
수건도 많고 침대도 푹신해요 물 온도가 잘 안 맞고 이불에 먼지가 많아요 그것 말고는 다 좋았어요,부정,중립
주말이라 바빠서 그러셨는지 분 기다려달라고 하셔서 이해하고 기다렸고 분 뒤에 객실 키 받았어요 욕조 있는 방으로 예약했는데 욕조 없는 방 주시면서 괜찮냐고 하셔서 또 이해하고 넘어갔는데 퇴실 시간에 대해서 다음 타임 일하시는 분과 인수인계도 잘 안 돼있고 좀 실망이었습니다 자주 이용하는 곳인데 그래도 불만이었던 부분에서 사과 잘해주시고 다음번에 이용하시면 더 신경 써드리겠다고 대응을 잘해주셔서 괜찮았습니다,부정,중립
사진과 똑같아요 객실에 욕조도 깨끗하게 비치되어 있고 화장실이랑 샤워실도 따로 있어서 넘넘 좋아요 침구를 재사용 없이 청결하게 관리하신다던데 청결도 도 너무 만족스럽습니다 신시가지 갈 때마다 여기만 가려고요 하나 아쉬운 점은 베개가 너무 높아요 낮은 베개를 하나 추가해 주시면 좋을 거 같아요 그리고 티브이 인치가 정말 커서 티브이 보는 맛이 체고에요 방 난방도 정말 정말 따뜻하고 온수도 전기매트도 잘 작동해서 추운 기 없이 잘 있었습니다,중립,긍정
괜찮습니다 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿 굿굿굿,긍정,중립
웰컴 드링크는 커피만 됩니다,긍정,중립
라베 호텔에서 푹 쉬다 갑니다 침구류도 정말 정말 푹신하고 쾌적하더라고요 물도 매일 세 병씩 채워주고 비즈니스호텔로 묵기에 적당했어요 매일 제공되는 조식도 든든했고요 재방문 의사입니다,긍정,중립
새로 생긴 신축이라서 기대하고 갔는데 방은 아담하고 좋았는데 서비스가 별로네요 수건이 배치다 안 돼있어서 전화로 분 의했는데 죄송하다 미안하다는 말 한마디 없으시고 물론 아직 처음이라 깜빡하셨을 수도 있는데 보통 이럴 땐 죄송하다고 하지 않나요 그리고 탁자 뒤쪽을 우연하게 보게 되었는데 세면도구 담아놓은 전에 썼던 봉투들 너랑 쓰레기가 있더라고요 객실 쓰는 입장에서 청소 상태도 좀 별로 고암 튼 그런 부분까지 신경 써주시면 좋을 거 같아요 감사합니다,중립,부정
직원분 친절하고 방 내부 깔끔합니다 화장실 타일이 하나 깨져있더라고요 근데 제 방만 그런 건지 모르겠는데 외부 소음 방음이 잘 안되더라고요 제가 예민한 건지 모르겠는데 도로에 차 지나갈 때마다 그 소음 때문에 잠을 조금 설쳤습니다 그래도 잘 쉬었습니다,부정,중립
화장실 문은 좀 다른 걸로 교체 요망합니다 나머지는 다 좋았어요,중립,긍정
이불이 푹신하고 좋은데 겨울이라 차가워요,긍정,중립
저렴한 가격에 정말 편하게 머무르고 재밌게 놀다 갑니다 프런트에 계신 직원분이 너무 친절해서 좋고요 다른 모텔들은 담배 냄새가 너무 심하게 나는데 여기는 담배 냄새가 심하지 않아서 좋았어요 침대도 푹신푹신해서 잠이 솔솔 오는 게 아주 맘에 들었고요 화장실 청결 상태도 나쁘지 않았습니다 다음에 또 모텔을 예약할 기회가 생긴다면 고민하지 않고 여기를 고를 것 같네요 간단한 간식비가 있는 것도 정말 맘에 들었습니다 혹시 이 모텔을 고민 중이시라면 여기로 하세요 만족하고 갑니다,중립,부정
되는 게 없음 티브이도 안되고 와이파이도 안되고 리모컨도 안돼요 되는 게 하나도 없음 불평만 하다 옴,부정,중립
항상 깔끔해서 자주 이용합니다 만족해요 냉동실이 있긴 한데 성애로 가득 차서 넣을 수 없었지만 날씨가 추워 창문 밖에 내놔서 괜찮았네요,긍정,중립
가격 대비 좋았는데 아쉬운 점은 담배 냄새가 나고 화장실에 담배제가 떨어져 있었어요,부정,중립
아이스크림 골라 먹을 수 있어서 좋고 냉장고 안에 음료수도 종류가 개가 있어요,긍정,중립
일단 너무 청결해요 저는 담배 냄새에 엄청 예만 한편인데 담배 냄새 하나도 안 나요 보시다시피 욕실도 깨끗 한번 가고 맘에 들어서 여기만 고집하게 되네요 또 좋은 점이 여긴 음식을 시키면 문 앞까지 가져다줘요 여기 김치 가락국수 최고요,부정,중립
청소상태가 아주 꼼꼼하게 잘 되어 있었습니다 담배 냄새나거나 특유의 모텔 냄새도 거의 나질 않았습니다 컴퓨터는에 그리고 모니터여서 배그 하는데 아주 좋았네요 티브이가 커서 컴퓨터로 영화 보고 유튜브 보는데 만족스러웠습니다 침대는 적당히 쿠션감 있어서 허리 아프지 않게 잠 잘 잤고 다음날 일어나서도 어디 배기거나 하지 않았습니다 물도 넉넉히 병 있고 식혜 청포도 음료가 있으며 물은 원하면 추가로 가져다 마실 수 있었습니다 출장 와서 지내기엔 괜찮았네요 이런 컨디션 유지되면 다음에도 다시 이용할 것 같습니다,중립,부정
너무 좋았어요 지금까지 간 모텔 중에서 손가락 안에 들어갈 거 같아요 사장님도 너무 친절하시고 화장실도 구별되어 있어서 너무 좋았습니다 다만 아쉬운 점은 티브이 틀고 컴퓨터같이 키면 렉이 좀 심한 거 같아요 연결되어 있어서 그런가 어쩔 수 없지만 티브이 끄고 게임하면 렉 안 걸리고 잘 했습니다 감사합니다,중립,긍정
잘 쉬다 갑니다 깨끗하고 전체적으로 시설이 매우 맘에 드네요,긍정,중립
시설 서비스 청결합니다,중립,긍정
방 상태도 깔끔하고 시설들도 깨끗하고 좋았어요 방 안에 티브이랑 가전제품들도 다 최신식으로 잘 되어 있고 잘 작동했습니다 건물 전체적으로도 냄새도 안 나고 쾌적했고 청소가 잘 되어 있었어요 다음에 또 이용하고 싶습니다 잘 자고 갑니다,중립,긍정
방마다 차이가 있습니다 이번방은 넷플 유튜브 안되네요,부정,중립
잠시 쉬었다 갔는데 깔끔하고 수압도 좋고 변기 물도 잘 내려가고 하지만 담배 냄새가 안 빠져서 냄새 때문에 고생 좀 했네요 냄새에 민감하신 분들은 참고하시는 게 나을 거 같습니다 침대의 푹신함은 좋았습니다,부정,중립
재방문의 사 있어요 이날 갑자기 추워진 날씨 때문에 걱정했는데 방바닥 뜨끈뜨끈해서 완전 꿀잠 잤습니다 엄마랑 같이 가서 잤는데 엄마도 저도 완전히 만족한 숙소였어요 화장실 수압 도세고 물도 잘 내려가고 모든 것이 완벽 아 거기다가 엄청 저렴해서 가성비도 짱,중립,부정
티브이는 크고 좋았는데 욕실 바닥이 미끄러워서 위험,긍정,중립
가족여행으로 지내는데 부족함 없었어요 저희 말고도 가족분들 여러 팀 봤고요 전체 금연이라 아이들과 지내기 괜찮고 따뜻했고 뜨거운 물 잘 나왔어요 아들이 버즈 놓고 왔는데 전화 와서 택배로 보내주셨고 궁금한 점 문의하면 세세하게 가르쳐 주었습니다,중립,긍정
직원분도 친절하시고 엘리베이터가 있어서 편했어요 객실 컨디션은 청결했고 혼자 쓰기에도 넓어서 답답하지 않은 느낌이 가장 좋았습니다 특히 테이블과 의자가 있어서 음식을 먹기에 편했고 실내화가 있어서 잘 이용했습니다 다만 어디선가 나는 모를 냄새가 조금 힘들었어요 박 했는데 저녁부터 살살 났었고 아침에 특히 심했어요 이 부분이 제일 아쉬웠습니다 박 정도는 재이용 할 생각 있습니다,중립,긍정
샤워기 고장하고 수압이 약하나 침대가 좋고 타월도 많고 좋아요,중립,부정
호 객실 점검이 시급해 보여요 에어컨도 가스가 없는 건지 하나도 시원하지 않았고요 변기수 압도 약해서 화장실 이용이 너무 불편했어요 늘 항상 최고였는데 이번에는 좀 실망이 개선해 주세요,부정,중립
청소상태 완전 머리카락 잇고 수건은 락스 냄새인가 냄새나서 두 개씩 썼네요 카운터 아저씨는 노인 일자리인지 사장인지 모르겠지만 친절했으면 좋겠네요,중립,부정
청소도 잘 되어있고 침구도 정리 잘 되어있고 깨끗해요 욕실도 깨끗하고 수압이 셉니다 변기 청소도 잘 되어있네요 컴퓨터는 고 사양이네요 게임들이 무리 없이 잘 돌아가네요 카운터 사모님 친절하세요,중립,긍정
시설 청결서비스 모두 만족합니다 전주 신시가지 시내에 위치한 숙소로 음식 배달이나 편의점 이용하기에 불편함 없었습니다 로비에서 아이스커피를 즐길 수 있어 좋고요 주차장도 넓어서 주차하기에 문제없었습니다,중립,긍정
진짜 찐 조식 필수이며 사장님 친절하고 뜨끈하게 지지면서 잘 수 있는 완벽 그 자체입니다,중립,긍정
대실 이용했는데 카운터 친절하시고 방 깨끗해서 잘 쉬고 갔습니다 좀 특별한 점은 베란다가 있어서 나가서 앉을 수도 있게 해놨더라고요 이용하지는 않았지만 날씨 안 추우면 밖에서 맥주랑 과자 먹으며 이야기할 수 있을 것 같았기도 했습니다,중립,긍정
도보 특가로 이용했습니다 우선 카운터에 계신 분께서 친절하셨고 덕분에 기분 좋게 이용할 수 있었어요 저희가 쓰던 방에는 옷 클리너 와 안마 의자가 있었어요 안마 의자는 뒤에 있는 전원을 키고 리모컨으로 이용 가능했습니다 넷플릭스와 유튜브 둘 다 이용 가능하며 저희가 들어왔을 땐 로그인이 안 되어 있어 넷플은 이용 못했어요 욕실에는 욕조는 없었고 대신 해바라기 샤워기 코브라 샤워기같이 있는 샤워공간이 있었습니다 수압이랑 온도는 괜찮았어요 세면대 물 빠지는 속도가 좀 느리긴 했지만 그 부분 빼고 전부 가격 대비 시설이 굉장히 괜찮았습니다,중립,부정
전체적으로 시설이 깨끗했다고 생각합니다 또한 숙박객 흡연 단속을 철저하게 하는지 어디에서도 담배 냄새는 나지 않더라고요 모든 방에 있는지는 모르겠지만 제가 묵었던 곳은 스타일러도 있어서 더 좋았고 판이 있는 숙소는 처음 보는 것 같아요 주차는 발레파킹을 해주시기도 했습니다 층에서 물이나 음료수를 마음껏 마실 수 있었던 것도 매우 좋았던 점 중에 하나였던 것 같아요 이만한 시설과 인테리어 청결한 숙소에 이 가격이면 돈이 전혀 아깝지 않다고 생각합니다,긍정,중립
넷플릭스 이용하실 분은 예약 시 꼭 문의하세요 넷플릭스 되는 방이 따로 있는듯싶어요 요즘 넷플릭스는 다 되는 뎅,중립,부정
처음에 샤워실과 화장실이 분리되어 있어서 당황했는데 막상 사용해 보니 좋은 것 같네요 샤워실은 욕조는 충분히 커서 좋았는데 간단히 샤워할 공간은 상대적으로 좁은 느낌입니다 청소상태는 실내에서 담배 냄새도 안 나고 매우 좋았습니다,중립,긍정
조기 입실의 친절에 감사드렸는데 불쾌한 일이 있었네요 사과는 하셨지만 이젠 고객의 프라이버시에 더욱 조심하시리라 믿네요,부정,중립
가격 대비 가성비인 거 같습니다 난방이 잘되고 온수도 잘 나왔습니다 아쉬운 점이 있다면 치약이 없었고 먼지가 좀 있어 숙소 안 공기가 좀 탁한 거 같았습니다,부정,중립
위치 좋고 전화했을 때나 로비에 계신 분이나 정말 친절하시고 저렴했지만 녹슨 샤워기랑 화장실 손잡이 손도 못 댈 정도라 그냥 문 열고 씻었어요 숙소 상태가 이런 건 태어나서 처음 뭐 묻어있는 침대 시트 벌레는 없었지만 청결이 꽝이라서 다음엔 안 갈 것 같아요,부정,중립
레트로 감성 마치 연대를 연상케 함 시설은 엄청 오래됨 청결도 진짜 잠만 자고 가기에 충분,중립,부정
편히 쉬다 갑니다 뜨거운 물도 잘 나오고 에어컨 선풍기 있어서 좋았어요 오늘도 자러 가야 돼서 예약 전에 리뷰 올립니다 장판 없는 푹신한 침대는 없으려나요,중립,긍정
룸 컨디션 좋고 화장실도 넓고 깨끗해요 거기다가 저는 개인적으로 아주 뜨거운 물에 샤워하는 걸 좋아하는데 물이 아주 엄청나게 뜨겁게 나오더라고요 침대도 넓고 깨끗하고 합리적인 가격에 스타일러라든지 부대시설도 구비가 잘 돼 있어서 좋았습니다 다만 객실 온도 조절하는 게 어디 있는지 안 보이더라고요 방 온도가 들어갔을 때부터 춥진 않았는데 더 올리고 싶었는데 찾질 못해서 이불 덮고 자긴 했는데 조금 아쉬웠습니다 추가적으로 컴퓨터 하려고 했는데 자꾸 다운 돼가지고 못했어요,중립,긍정
여자 명에서 갔는데 넓고 쾌적하게 이용하고 왔어요 에어컨도 층 침대 있는 방까지 두 대 있고 티브이도 크고 에어 드레서도 있어서 알차게 이용했습니다 층침대는 아늑해서 진짜 꿀잠 잤어요 또 가고 싶은 숙소에요,부정,중립
전반적으로 깨끗하고 방이 넓어요 넷플릭스 나와서 잘 보고 나왔습니다 중문이 있어서 소음이 적었고 화장실도 넓고 스타일러가 있어서 좋았습니다 방이 많이 건조해서 그 부분이 좀 힘들었어요 겨울엔 좀 힘들 것 같아요 일단 대체적으로 좋았습니다 스낵바는 로비에 트여있어서 사용할 때 좀 눈치 보이는 부분이 있어요,중립,긍정
찾기 쉽고 주차장 넓고 사장님 친절하시고 방도 깨끗하고 넓고 주변 식당 편의점 많고 바로 앞 공영주차장도 있고 한데 청방에 배정받아서 그런지 창문 열면 벌레가 계속 들어오고 연발해도 청도 안 해주십니다 로비에 라면 먹을 수 있게 식탁 냉장고 다 있지만 통창이라 주변 다 보이고 주차장 앞이고 로비에 직원분이 계셔서 먹는데 계속 눈치 보여요,중립,긍정
객사 안에 위치하고 있어서 위치는 매우 좋아요 주변에 편의점도 많고 이용할 수 있는 것들도 많아서 좋습니다 객실 상태도 나쁘지는 않았는데 에어컨이 좀 지저분했어요 거미줄이 있어서 쓰는데 좀 그랬습니다는 다양하게 볼 수 있어서 좋았어요 개인 로그인 필요합니다 객사 안에 위치하고 있어서 위치는 매우 좋아요 주변에 편의점도 많고 이용할 수 있는 것들도 많아서 좋습니다 객실 상태도 나쁘지는 않았는데 에어컨이 좀 지저분했어요 거미줄이 있어서 쓰는데 좀 그랬습니다는 다양하게 볼 수 있어서 좋았어요 개인 로그인 필요합니다,중립,긍정
방이 생각보다 작지만 포근하고 잘 쉴 수 있었습니다 중문이 있는데 복도나 옆 객실 방음이 아쉽습니다 티브이가 정말 크고 욕실 구조가 특이합니다 난방도 잘되고 좋습니다 사장님도 친절하시네요,중립,긍정
주차장이 개라 주차하기가 편합니다 층 로비에 토스트 음료수 커피 과자 등이 있어 언제나 먹으면 되고요 객실은 방마다 약간의 차이 단가 차이는 있지만 전체적으로 깨끗하고 비품도 잘 준비되어 있습니다,중립,긍정
전주역에서 내려오면 금방인 가까운 위치입니다 위아래로 식당가도 있고 편의점도 붙어있어서 뭐든 먹을 때 편리합니다 층 카페테리아에는 식빵 커피 사탕 등 간단히 먹을 수 있는 것들이 제공됩니다 객실은 적당한 크기의 공간에 화장실도 답답하지 않은 크기로 붙어있습니다 티브이로는 유튜브 시청이 가능하기로 되는데 넷플릭스 등을 이용할 수 있는 게 많네요 컴퓨터는 기본방부터 이용 가능한데 롤 등 국민게임이 원활히 돌아가는듯합니다 숙박 시 입태실 시간이 입실 시 퇴실 시로 굉장히 여유로운 편입니다,부정,중립
입구 문 열자마자 바퀴벌레 먼저 봤어요 포트기 안에 뭔지는 모르겠는데 노란 물이 차있고 침대는 너무 딱딱해서 다음날 일어났는데 허리 다 부서지는 줄 너무 기대하고 갔나 봐요 아쉽,부정,중립
주변에서 제일 깨끗함,중립,긍정
